id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003,0.00000,0.07748,0.00000,0.06355,0.00000,0.00776,0.00000,0.00000,0.01509,0.00000,0.00000,0.00001,0.00001,0.00002,0.00000,0.00001,0.00001,0.00002,0.01084,0.00000,0.00000,0.00000,0.00003,0.00000,0.00000,0.01738,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00006,0.00013,0.03033,0.00000,0.00002,0.00000,0.00000,0.03023,0.23644,0.00000,0.00000,0.00000,0.00000,0.00000,0.07669,0.00000,0.00000,0.00000,0.05600,0.00000,0.02444,0.00000,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00034,0.00000,0.00055,0.00000,0.00000,0.00000,0.00407,0.00000,0.00562,0.00000,0.01861,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.30612,0.00000,0.00001,0.00000,0.00000,0.01803,0.00000,0.00000
7,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00026,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06744,0.00000,0.00000,0.45644,0.03820,0.18890,0.00290,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.01827,0.00000,0.00000,0.05002,0.05115,0.00216,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00014,0.10502,0.01902,0.00000,0.00000,0.00003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
9,0.00000,0.95894,0.00000,0.00091,0.00073,0.00000,0.03600,0.00001,0.00000,0.00260,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00005,0.00000,0.00000,0.00000,0.00000,0.00000,0.00059,0.00000,0.00000,0.00001,0.00014,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
12,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00016,0.00000,0.00000,0.00000,0.00000,0.05925,0.27685,0.00000,0.00000,0.00405,0.00001,0.01662,0.00001,0.00000,0.00000,0.00000,0.00083,0.00003,0.00039,0.00000,0.00123,0.00000,0.00000,0.00000,0.00383,0.00195,0.00003,0.01658,0.00000,0.00000,0.00819,0.00000,0.00000,0.00000,0.08810,0.04673,0.00043,0.00624,0.00000,0.00000,0.00074,0.07089,0.01714,0.00005,0.00124,0.00000,0.00000,0.00036,0.00000,0.00000,0.00000,0.00000,0.00008,0.00000,0.01976,0.00755,0.01628,0.00878,0.00000,0.00007,0.00000,0.13859,0.00000,0.00000,0.06200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06643,0.00000,0.00370,0.02475,0.00338,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02666,0.00000,0.00001,0.00002
13,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05325,0.00003,0.22478,0.00000,0.19885,0.00000,0.00000,0.00046,0.00000,0.00000,0.00819,0.00017,0.00094,0.01034,0.00003,0.00196,0.00008,0.00004,0.00000,0.00000,0.00001,0.00737,0.00000,0.00017,0.01537,0.00000,0.00064,0.00000,0.00000,0.00131,0.00008,0.00024,0.00000,0.00001,0.00003,0.02754,0.01201,0.00000,0.00032,0.00000,0.00000,0.08902,0.14193,0.00000,0.00000,0.00000,0.00000,0.00000,0.00088,0.00000,0.00003,0.00000,0.00246,0.00000,0.00005,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00010,0.00000,0.00000,0.00000,0.00000,0.07582,0.00000,0.00011,0.00000,0.00089,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12182,0.00079,0.00039,0.00047,0.00007,0.00089,0.00002,0.00000
16,0.00000,0.00022,0.00000,0.98851,0.00000,0.00000,0.00776,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
19,0.00000,0.00035,0.00004,0.92332,0.00000,0.00000,0.00048,0.00577,0.03461,0.00000,0.00002,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00013,0.00000,0.00000,0.00000,0.00319,0.00000,0.00000,0.00000,0.00000,0.00023,0.00000,0.00000,0.00000,0.00000,0.00000,0.00012,0.00000,0.00000,0.00000,0.00756,0.00000,0.00000,0.00000,0.00000,0.00013,0.00000,0.00000,0.00000,0.00013,0.00440,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01949,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
23,0.00000,0.00000,0.00642,0.00000,0.00000,0.03733,0.29929,0.00000,0.00000,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00007,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.62220,0.00000,0.00000,0.00000,0.00091,0.00000,0.00000,0.01989,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00086,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00000,0.00000,0.00007,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00933,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00359,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
24,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003,0.00000,0.00000,0.00000,0.00000,0.00373,0.01049,0.00000,0.00000,0.00026,0.00000,0.00075,0.00000,0.00000,0.00000,0.00000,0.13436,0.00442,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09122,0.00004,0.00000,0.00021,0.00000,0.00000,0.00012,0.00000,0.00000,0.00000,0.00836,0.00000,0.06712,0.00001,0.00000,0.00000,0.00002,0.00244,0.00070,0.00000,0.21442,0.00000,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13511,0.00069,0.00019,0.00001,0.00000,0.00193,0.00000,0.00011,0.00000,0.00000,0.06250,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.15573,0.00000,0.00016,0.00016,0.10171,0.00000,0.00255,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00018,0.00000
28,0.00000,0.00000,0.00005,0.00512,0.00000,0.00000,0.00009,0.00596,0.93669,0.00000,0.00115,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02397,0.00000,0.00000,0.00000,0.00006,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00077,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02571,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00018,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00023,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
