id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,2.4917202e-11,1.4386172e-06,4.2076945e-10,3.0519836e-06,2.3766093e-11,2.4917297e-11,3.42221e-13,3.79833e-05,0.0013799464,2.840072e-10,0.02781992,1.5029061e-10,0.062744364,9.303001e-11,0.024512205,3.2047888e-07,3.624547e-11,0.038304124,1.6146494e-08,9.441615e-10,1.9741192e-07,1.0733711e-08,9.52399e-09,1.6729993e-07,6.4910033e-10,7.202675e-08,0.00040608467,0.023070697,1.6846409e-08,7.8299465e-09,5.096343e-10,1.5193602e-07,6.395335e-13,3.0315108e-09,0.12067563,6.3933436e-10,2.499305e-05,6.601376e-10,5.9270594e-10,9.468493e-09,4.684131e-10,2.2859588e-08,1.2065991e-06,2.4367786e-10,5.286727e-07,0.003560325,0.016492538,1.6575419e-09,2.1919291e-08,2.4689885e-07,3.4563263e-10,0.07976812,0.0669202,1.276766e-09,1.9100224e-05,1.4156854e-08,1.4297909e-08,4.1207278e-09,0.06801333,6.532253e-13,1.008707e-10,1.6974994e-06,0.10419252,6.380796e-10,0.058849074,3.0208877e-11,0.0023973526,4.1463037e-09,2.016435e-09,2.6335425e-08,7.217166e-09,2.449994e-11,1.373503e-06,0.018667439,6.596392e-10,0.008193399,4.9129704e-11,3.7197037e-08,1.7064352e-11,0.04059496,8.7014715e-11,0.02353165,1.0409917e-12,0.05570486,2.8383513e-09,1.01645165e-10,2.2421721e-08,1.0397716e-08,1.406798e-07,4.635627e-07,8.5907e-08,0.10727954,2.5491333e-06,3.9942385e-08,1.3705449e-07,7.29483e-10,0.046825506,3.5316812e-11,3.3426592e-10
7,3.6763828e-07,1.12400506e-13,1.2028811e-06,9.416126e-15,1.3886586e-15,1.9166882e-10,3.2901698e-10,6.838868e-15,3.1558262e-14,7.502095e-15,6.7394198e-15,2.970542e-08,6.178289e-14,1.3462379e-06,2.417489e-13,5.3776848e-08,8.2216644e-08,7.2004334e-12,0.002424668,0.0012622705,5.8161053e-08,3.303649e-12,1.2781707e-07,1.0575287e-07,8.820934e-07,1.2577642e-07,4.622878e-14,5.341533e-10,8.303085e-06,0.00096070964,1.00246825e-05,4.1267704e-08,6.8274826e-06,4.313466e-08,1.3985655e-11,6.142007e-14,5.830569e-15,0.000289751,8.10617e-05,1.4047163e-08,1.0077085e-07,6.805115e-08,7.3025136e-10,2.0274433e-07,1.7368976e-08,1.896662e-13,6.8300565e-15,0.0007889059,1.4505413e-07,0.0011565583,0.003593433,1.194796e-13,1.6485524e-13,0.12488037,0.19044816,0.09295486,0.06551903,0.00088862644,1.1712546e-10,1.1782193e-09,2.7273502e-06,5.724423e-10,5.2609042e-11,1.659494e-12,2.2634809e-11,8.632594e-05,6.5234207e-10,0.0009911152,0.015028772,0.11484043,0.051248264,2.6355155e-13,3.036528e-05,3.7779876e-10,6.8783504e-07,1.6878594e-13,0.00941726,0.0023439894,0.00010458319,9.2470485e-14,7.942197e-13,1.1731246e-09,6.212745e-07,2.1620304e-10,0.0013225301,0.021649031,0.21110305,0.08302025,0.0010344685,8.1547313e-07,0.0022844474,4.3800117e-13,1.7381865e-12,1.1626738e-07,2.379679e-08,7.8409194e-08,1.9636537e-10,8.849003e-08,0.00021137025
9,5.5877605e-17,0.8847574,5.2520434e-08,0.030800797,0.00267849,3.4281646e-05,0.0028843188,0.004019218,2.0252544e-06,0.0034870189,4.256109e-15,4.735273e-18,9.447687e-19,2.8844922e-20,2.505995e-20,1.4646082e-05,1.2408847e-19,1.0510004e-07,7.8628827e-19,4.1635384e-19,8.899826e-19,9.962138e-09,5.5706866e-19,5.642652e-20,3.29949e-19,5.1938774e-19,0.06986839,1.2233453e-17,1.9715875e-08,1.5340961e-18,4.8313e-19,7.166748e-20,7.354462e-06,2.0279948e-18,2.9109778e-20,0.00011498654,9.734685e-06,3.8973124e-19,4.0227884e-20,1.6349619e-19,5.6800823e-19,2.678957e-13,8.278683e-08,1.5273276e-19,5.2145855e-18,1.2882724e-15,8.6556923e-07,2.5586516e-19,1.8913952e-18,2.3954861e-17,6.779402e-16,4.762846e-18,3.772841e-18,1.389611e-15,5.591172e-17,8.6417875e-18,1.5498399e-06,1.3012301e-19,8.39318e-18,3.4807163e-05,5.223146e-18,3.3665884e-08,4.8689906e-18,0.0003694605,4.388466e-15,1.4548479e-11,1.0111159e-13,2.0451082e-19,1.7841445e-17,1.3051414e-13,2.8704003e-11,0.0003279951,4.969209e-11,1.8788192e-17,2.0176085e-18,3.1496067e-05,1.1670418e-05,1.1887634e-18,0.00027072616,3.4361777e-20,0.00025981804,2.1374998e-18,9.979802e-06,6.5643014e-18,2.14774e-19,2.623615e-06,9.173912e-16,8.7347866e-18,1.8864893e-17,1.4323932e-08,4.2992815e-17,1.4052809e-19,1.0909717e-08,7.051585e-17,1.9182173e-15,7.0690834e-19,1.2824698e-18,5.527251e-19,1.442717e-19
12,1.4862495e-06,5.109767e-13,8.1565366e-07,8.8660063e-14,1.4609085e-15,1.1220284e-09,2.1812664e-10,3.2847213e-14,3.231726e-13,8.589849e-15,1.4350164e-13,7.231031e-08,1.064504e-12,4.4347886e-05,2.7423443e-12,8.233561e-08,1.2373017e-06,3.888378e-11,0.028348982,0.018904787,1.5143374e-07,1.9097394e-11,1.323563e-06,2.6385212e-07,1.457259e-05,2.9118888e-07,1.12466555e-13,4.3975643e-10,1.7164093e-05,0.03748081,0.0002974994,1.0522051e-07,4.3745504e-06,1.7095203e-07,1.2040584e-10,6.3829286e-13,8.640759e-14,0.005345547,0.0022752548,3.8201343e-08,1.8517785e-06,1.5307623e-07,1.6708034e-09,7.69781e-06,3.4381035e-08,1.8772494e-12,1.199344e-13,0.01527523,2.2552472e-06,0.02596061,0.0026117393,2.1842205e-12,2.3634083e-12,0.042400092,0.09220826,0.11384203,0.017123703,0.033723474,2.752545e-10,8.5006185e-10,1.5481817e-05,1.2208854e-09,1.3419695e-10,1.738021e-12,6.2977505e-11,2.7836384e-05,1.0566124e-09,0.03274744,0.06270415,0.09223623,0.033549927,5.116145e-13,0.0003520757,3.851899e-10,6.2668996e-06,1.899138e-13,0.0005946349,0.039275352,1.8074208e-05,1.4507755e-12,1.2741222e-12,1.0638884e-09,3.128568e-07,2.7040156e-10,0.03277662,0.00068343437,0.106914505,0.090196386,0.024897644,3.2824419e-06,0.045051318,5.79311e-12,1.1044504e-11,2.4242004e-07,6.050493e-08,1.0362166e-06,2.7407054e-10,3.743591e-07,0.0020508533
13,3.9624632e-09,0.00028279278,4.044824e-10,0.00075049815,6.752161e-10,5.8718226e-09,4.381446e-10,2.8730132e-05,0.0066812364,1.934948e-09,0.11964104,2.4807853e-06,0.11549895,6.795283e-11,0.13256223,2.5591628e-06,2.495103e-09,0.017037787,3.5000243e-09,7.158387e-10,0.0003706713,0.0002475154,1.63953e-06,0.0005158713,2.3059489e-08,0.00047656908,0.0032820702,5.7887514e-06,3.2372563e-07,4.489425e-09,3.910537e-09,0.00022921534,9.853085e-10,3.5638302e-06,0.031550854,4.0953005e-09,0.0045988755,9.109972e-10,7.530392e-11,1.4277757e-05,1.6153543e-08,0.00018840542,1.3914239e-07,1.2382982e-09,1.5030524e-05,0.06646161,0.0585452,5.9388355e-10,1.7659106e-06,1.3326076e-07,1.9826332e-09,0.10533464,0.10816483,1.6900747e-10,7.645722e-08,2.6313562e-09,1.6964515e-08,1.1041752e-09,9.650231e-05,4.370643e-11,3.6869082e-07,1.3040936e-07,0.000799941,1.5630225e-09,0.000120008604,6.7174266e-10,3.686495e-06,9.58183e-10,1.8238207e-09,4.399889e-09,5.3879585e-09,5.2546173e-10,2.2040585e-06,6.291702e-06,9.229753e-08,7.191916e-06,4.332466e-10,1.288187e-08,4.2188222e-10,0.12912025,3.948007e-10,4.2116353e-06,5.132872e-11,1.8560962e-05,6.811326e-10,3.862161e-10,4.338753e-09,2.1131443e-09,7.826528e-08,2.669848e-06,1.4296027e-07,0.092725694,0.0032233687,0.0003043086,0.0010517413,6.220863e-08,1.4875715e-05,9.979246e-08,4.531663e-11
16,7.420735e-07,0.2597746,0.00014716362,0.49565452,0.0065610525,0.002992158,0.029845502,0.032378145,0.044500384,0.006250733,3.5466768e-05,3.1274772e-06,2.507606e-07,1.2591623e-09,1.345213e-07,0.00055336265,8.1046586e-08,0.0037632717,2.8394718e-09,2.0931359e-09,9.280599e-07,0.0046788775,8.679223e-08,5.484244e-07,2.3383167e-08,1.2328283e-06,0.016710194,1.4088607e-10,0.00048924336,5.6641585e-09,1.4417277e-08,3.7980573e-07,0.0067557795,3.950635e-07,9.136046e-09,0.004693008,0.049951218,2.2063775e-09,5.0507926e-10,3.957649e-07,1.4554929e-08,0.00014339884,1.5488404e-05,3.027125e-09,4.2054293e-07,6.7073775e-06,0.02570366,1.3183127e-09,1.10161444e-07,2.5150579e-08,1.23940955e-08,3.5726163e-07,6.1222727e-07,1.4107384e-09,3.6965642e-10,1.8396197e-09,1.0099993e-05,1.1076644e-09,2.4517495e-09,2.0818725e-05,1.2323958e-06,6.6461107e-06,2.4992668e-09,6.0913426e-05,7.325105e-08,3.688935e-07,1.0878126e-08,1.1391867e-09,3.9864947e-09,2.1411976e-08,9.2518263e-07,0.0005100374,2.7789221e-05,1.0267572e-10,5.790194e-08,8.656712e-06,1.3938268e-05,3.792074e-09,4.0646573e-05,1.1215265e-07,6.6727116e-05,5.047246e-11,2.057312e-05,1.00130564e-10,1.0655352e-09,9.610973e-06,3.4003347e-09,1.988352e-09,2.488337e-08,0.00022510976,1.7177734e-07,1.0524518e-07,0.0073425253,6.2421454e-06,1.2370615e-05,4.311599e-08,5.914598e-11,3.216074e-07,5.003502e-10
19,0.0010860933,0.02363553,0.00058081734,0.041453708,0.00023899568,0.00036557077,0.0011331688,0.0050676684,0.029357329,0.0003700141,0.039342616,0.018088197,0.026505195,0.00011340212,0.029215626,0.00029239943,0.0008183366,0.03362905,0.00016772716,0.00013207964,0.03581199,0.026149325,0.004474953,0.041267943,0.0010867128,0.048458267,0.017850973,0.00017618976,0.0009632077,0.00016126547,0.00048865576,0.03136381,0.0024038698,0.009205777,0.010757012,0.0003355857,0.028927898,0.00014456529,6.556893e-05,0.016039643,0.0008702445,0.05404239,8.880474e-05,0.00028320766,0.009615698,0.056157053,0.06598354,0.00012272316,0.004716766,0.00025051262,0.00037237242,0.024184903,0.028199513,6.641045e-05,0.00011153458,0.00010320803,0.00016775036,0.000109167115,0.00093877706,0.000108695895,0.0071854293,8.69433e-05,0.001775744,0.00012019016,0.001060847,0.0005356945,0.00020115938,9.9292825e-05,0.00016132931,0.00013415229,0.00030148734,0.00013998392,0.000569918,0.00016008544,0.002016183,0.00039534114,0.000108338645,0.00018223372,0.00017333732,0.027515396,0.00012017412,0.00017652074,0.00012279094,0.00024979454,9.172958e-05,0.0001272006,0.000113976974,0.000121178695,0.0002814782,0.00067283795,0.00041885246,0.022598296,0.059611555,0.043970283,0.048070595,0.0016887644,0.0002365607,0.004135105,4.9190934e-05
23,1.6351198e-15,1.0222917e-07,2.4848123e-05,6.1345866e-09,0.000120715486,0.010611745,7.3845404e-05,5.1338798e-08,2.1338813e-10,0.00017911103,6.8192176e-14,2.5400091e-17,9.28807e-15,2.2459836e-17,2.4552989e-15,0.017828364,1.2770701e-17,8.809566e-11,3.416763e-13,1.7415988e-15,1.8250109e-17,1.4763205e-11,9.642216e-19,7.659236e-17,5.637382e-18,2.9219172e-16,1.5499265e-07,6.142498e-10,0.9373991,1.1116573e-15,2.8409664e-17,1.5464813e-17,1.8197723e-06,9.578134e-19,6.5022497e-15,0.0011672424,4.180932e-11,3.0521936e-17,1.1558788e-15,1.8765099e-18,1.9852045e-19,3.0714584e-14,0.00011819473,6.1677595e-19,7.443832e-17,3.7258176e-15,2.830968e-11,2.2297153e-15,1.642733e-17,1.169621e-13,4.461558e-12,3.5920884e-15,1.1445109e-14,2.1461531e-08,2.2256353e-08,1.8151787e-10,0.0060104,1.8224864e-16,1.18582245e-11,4.97785e-06,7.940319e-17,5.1228148e-05,1.2828159e-11,5.129324e-06,1.604802e-09,3.7067308e-10,2.0065497e-07,2.23122e-16,6.7735645e-13,3.67028e-07,0.003975907,0.00016780797,7.729983e-07,6.18914e-10,4.528865e-18,5.75786e-08,0.00022083704,3.3617244e-14,2.917933e-06,1.1278718e-15,2.3983778e-06,1.1840331e-10,9.75948e-05,2.9276595e-11,2.9325477e-16,3.7942384e-05,2.2955314e-08,4.652334e-10,1.6571876e-13,0.02189608,8.080898e-13,1.20989636e-14,1.6070171e-12,4.310663e-15,3.1319656e-14,5.1788563e-19,1.6384009e-11,6.702449e-19,6.8844333e-13
24,1.1027149e-06,4.3979827e-11,5.5074236e-07,1.2231549e-11,6.2631763e-13,1.5125995e-08,2.608695e-09,9.0403345e-12,5.1080796e-11,1.1297448e-12,4.493956e-11,1.5724113e-07,1.846323e-10,2.4625488e-05,2.1279521e-10,9.315951e-07,1.0064454e-06,1.017496e-09,0.051950093,0.019900674,3.371993e-07,8.423667e-10,1.5643772e-06,5.437387e-07,1.4328348e-05,7.016934e-07,1.622662e-11,1.21384165e-08,0.00092812383,0.057289705,0.00028127708,2.415856e-07,2.7081721e-06,2.6010662e-07,5.097417e-09,6.3609146e-11,2.9072446e-11,0.0065711513,0.0025432275,9.185695e-08,2.1028761e-06,4.4658026e-07,1.7315331e-08,4.325105e-06,8.54677e-08,1.14492665e-10,2.7301241e-11,0.01955246,1.8336018e-06,0.06393909,0.0009244278,3.0405556e-10,2.5589203e-10,0.0134190135,0.05501391,0.06699659,0.014465723,0.05740313,8.803281e-09,2.7093146e-09,9.089499e-06,1.7153601e-08,6.0520624e-09,1.4323114e-11,4.2429646e-09,2.9636308e-06,1.8191015e-08,0.05026645,0.046059743,0.060956433,0.030441834,2.1014274e-11,0.005952481,1.186189e-08,4.197972e-06,2.1721572e-11,0.00034239236,0.08167084,1.7985208e-06,1.6517408e-10,6.256637e-12,1.9405647e-08,6.2146444e-07,9.095763e-09,0.05084646,0.00016376389,0.058643818,0.060143404,0.06265302,0.00029324548,0.05959744,5.387743e-10,3.0921274e-10,5.7560754e-07,2.4923153e-07,1.0134108e-06,1.0535746e-08,3.7176068e-07,0.00071107305
28,1.2444836e-05,0.00031062163,0.00018954305,0.07652096,4.9879276e-05,0.00010080621,0.000119161086,0.27176318,0.6340753,0.0003223547,0.00031856148,1.1648572e-05,8.205632e-06,8.3707214e-08,6.651211e-06,0.00026979655,5.963835e-06,0.004064855,2.3303521e-08,4.9685567e-09,2.0601651e-07,0.00021917034,7.0197377e-09,1.468475e-06,1.2819401e-08,6.6917523e-06,3.3812166e-06,1.693852e-05,0.0007615004,2.6323473e-08,2.4112415e-08,3.9461708e-07,3.4320023e-05,2.068874e-08,1.8449394e-06,0.00079311244,0.000568076,1.1614317e-09,6.2197145e-08,7.5059365e-06,1.2751453e-09,0.00023756981,8.944418e-05,5.6125065e-09,0.00018014367,2.6780394e-06,0.0014400386,6.5989623e-09,3.7863458e-08,3.7909436e-07,2.8106069e-09,5.5985947e-06,2.9890758e-05,6.2483685e-09,6.698666e-08,3.6626634e-08,2.224869e-07,5.457204e-09,4.919381e-05,4.7135655e-09,7.312558e-08,4.666326e-05,4.3291253e-05,3.252909e-08,0.0057272613,1.6638344e-07,9.347621e-05,8.756857e-09,5.6732525e-09,1.5759651e-08,2.3668174e-06,5.4421816e-06,0.00014100238,7.5949933e-06,2.5009312e-09,2.9392997e-06,6.1851444e-09,4.2756234e-08,4.3077078e-10,6.904855e-06,3.9614466e-08,2.5416373e-06,2.2659467e-08,2.7558287e-06,4.071058e-09,2.6828733e-08,1.2074498e-08,3.097631e-08,3.7381974e-07,0.00080644153,1.0389881e-05,2.2443917e-05,0.00022949064,0.00014525703,9.978792e-05,1.0126754e-08,2.3041364e-06,9.857023e-09,7.6849864e-07
