id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,0.01403,0.02303,0.00307,0.00421,0.01622,0.00259,0.00556,0.00990,0.00800,0.01392,0.00532,0.00817,0.00749,0.03239,0.00585,0.01303,0.00488,0.00370,0.00290,0.00747,0.00424,0.00792,0.00758,0.00191,0.00330,0.00329,0.00763,0.02418,0.00619,0.00271,0.02224,0.00463,0.00583,0.00256,0.00377,0.04442,0.01212,0.00633,0.01197,0.00094,0.00671,0.00270,0.00368,0.00946,0.01872,0.00550,0.02185,0.00196,0.01232,0.01989,0.05010,0.01095,0.00491,0.02613,0.00540,0.00257,0.00555,0.00563,0.00924,0.00709,0.01252,0.00670,0.01893,0.00341,0.00179,0.05855,0.00661,0.00151,0.00694,0.01029,0.01020,0.00199,0.01203,0.00318,0.00572,0.03566,0.03375,0.00194,0.00658,0.00358,0.00092,0.01070,0.00926,0.00306,0.00217,0.00540,0.02017,0.00313,0.00301,0.00952,0.00878,0.00149,0.00434,0.01028,0.02555,0.00449,0.02342,0.00262,0.00397
7,0.00950,0.00528,0.00464,0.00547,0.00766,0.00713,0.00969,0.01675,0.01557,0.01786,0.00431,0.02223,0.00416,0.01818,0.00981,0.01722,0.00674,0.01283,0.01109,0.00616,0.01392,0.00738,0.01437,0.01840,0.00515,0.01766,0.01788,0.00695,0.00888,0.00815,0.00983,0.00831,0.01839,0.00607,0.00772,0.01425,0.01358,0.00724,0.00721,0.00519,0.01675,0.00449,0.00814,0.01170,0.00640,0.00989,0.01214,0.01260,0.00476,0.00834,0.01266,0.02043,0.00674,0.01100,0.00428,0.01339,0.00965,0.00300,0.01095,0.00303,0.01059,0.00943,0.02427,0.01401,0.00826,0.02114,0.01028,0.01108,0.00568,0.00924,0.01178,0.00785,0.00372,0.00819,0.01370,0.01010,0.01033,0.00838,0.00778,0.00472,0.00860,0.01083,0.01369,0.00632,0.00540,0.00420,0.00891,0.00829,0.00747,0.01224,0.00481,0.01355,0.01146,0.00303,0.01159,0.00449,0.01781,0.00462,0.01305
9,0.01136,0.02983,0.00539,0.00385,0.01085,0.00385,0.00607,0.01306,0.00237,0.01211,0.00479,0.01555,0.01293,0.00744,0.01762,0.02081,0.00822,0.00562,0.00652,0.00362,0.00998,0.01176,0.01075,0.00887,0.00613,0.00993,0.01901,0.01265,0.01721,0.00567,0.01356,0.01561,0.00173,0.01531,0.01312,0.00960,0.00799,0.01813,0.00568,0.00494,0.01996,0.00368,0.01268,0.01885,0.00687,0.00587,0.00903,0.00955,0.01553,0.00713,0.01307,0.01871,0.00896,0.01844,0.01201,0.00937,0.00346,0.00477,0.00368,0.00319,0.02588,0.01797,0.00652,0.01996,0.00258,0.01220,0.00591,0.00424,0.00523,0.01024,0.06197,0.00204,0.00454,0.00644,0.00856,0.00886,0.00758,0.00253,0.00728,0.00363,0.00210,0.00580,0.01450,0.00648,0.00325,0.00505,0.01447,0.00669,0.00484,0.00990,0.00375,0.00742,0.00540,0.00570,0.02102,0.01022,0.01041,0.00633,0.00824
12,0.00516,0.00385,0.00167,0.00271,0.01057,0.00404,0.00731,0.01453,0.00764,0.00613,0.00242,0.00885,0.00571,0.00575,0.02476,0.02397,0.01598,0.01659,0.00538,0.00200,0.01067,0.00816,0.02719,0.01234,0.00112,0.01688,0.07521,0.00314,0.03901,0.00373,0.00328,0.00396,0.00327,0.00640,0.01124,0.02593,0.00826,0.00895,0.00596,0.00536,0.00806,0.00066,0.00664,0.02924,0.00425,0.00426,0.00384,0.01036,0.00323,0.00796,0.01039,0.01289,0.01091,0.01587,0.00239,0.01058,0.00691,0.00485,0.00178,0.00229,0.02055,0.02608,0.02750,0.02873,0.00236,0.00562,0.00393,0.00369,0.01027,0.00165,0.04064,0.00471,0.00313,0.00228,0.00794,0.00274,0.00566,0.00430,0.00551,0.00542,0.00539,0.00754,0.04530,0.00403,0.00284,0.00319,0.00650,0.00189,0.01092,0.01409,0.00212,0.00516,0.00718,0.00560,0.00393,0.01500,0.00991,0.00148,0.02276
13,0.00849,0.02203,0.00288,0.00353,0.00983,0.00235,0.00980,0.00466,0.00264,0.00197,0.00250,0.02808,0.01438,0.01497,0.01021,0.02047,0.00517,0.01263,0.00280,0.00301,0.00309,0.00700,0.01070,0.00877,0.00169,0.00892,0.05151,0.00760,0.01058,0.00925,0.00372,0.00444,0.00224,0.02106,0.00827,0.01394,0.01224,0.02290,0.00605,0.00059,0.02101,0.00075,0.01781,0.02146,0.01151,0.00493,0.00648,0.00913,0.01045,0.00667,0.03856,0.01461,0.00777,0.05340,0.00304,0.00305,0.00372,0.00399,0.00128,0.00825,0.02749,0.01315,0.01075,0.01047,0.00137,0.00946,0.00635,0.00322,0.01502,0.00665,0.05839,0.00265,0.00182,0.00362,0.00516,0.01736,0.00425,0.00248,0.00439,0.00146,0.00173,0.00781,0.02905,0.00553,0.00595,0.00867,0.01905,0.00264,0.00264,0.00291,0.00243,0.00320,0.00247,0.00248,0.00637,0.02589,0.01124,0.00319,0.00639
16,0.01099,0.01255,0.00699,0.00575,0.00678,0.00513,0.00805,0.02016,0.01336,0.00828,0.00590,0.01123,0.00667,0.01270,0.00869,0.01959,0.00847,0.00606,0.01050,0.01003,0.00573,0.00579,0.00865,0.00731,0.00523,0.01313,0.01478,0.01071,0.01090,0.00626,0.00650,0.01045,0.00721,0.00662,0.01334,0.01701,0.02333,0.01155,0.00879,0.00350,0.01253,0.00608,0.01666,0.01167,0.00870,0.00939,0.01319,0.01136,0.00624,0.01090,0.01198,0.01559,0.01437,0.01481,0.00840,0.00835,0.00855,0.00432,0.00908,0.00652,0.03050,0.01456,0.00865,0.01727,0.00587,0.01788,0.00822,0.01147,0.00795,0.01038,0.01339,0.00521,0.01107,0.00738,0.01186,0.00898,0.01215,0.00719,0.01518,0.00503,0.00872,0.00827,0.00804,0.00725,0.00559,0.00567,0.01600,0.00876,0.00689,0.00869,0.00836,0.00657,0.00867,0.01011,0.00964,0.00656,0.01199,0.01120,0.00946
19,0.01002,0.00849,0.00544,0.00776,0.00931,0.00713,0.01459,0.01363,0.00726,0.01159,0.00680,0.01581,0.00791,0.01133,0.01178,0.02452,0.00787,0.00743,0.00930,0.00912,0.00929,0.00713,0.01004,0.00973,0.00507,0.01167,0.01078,0.00951,0.01346,0.00816,0.00677,0.00729,0.01205,0.00444,0.01052,0.01248,0.01690,0.00895,0.00728,0.00830,0.01387,0.00547,0.00827,0.00976,0.01194,0.00702,0.01219,0.01541,0.00809,0.01229,0.01114,0.00898,0.01521,0.01354,0.01369,0.01211,0.00924,0.00710,0.00793,0.00338,0.01696,0.01579,0.01442,0.01602,0.00502,0.01327,0.00847,0.01053,0.00788,0.01381,0.01713,0.00762,0.00934,0.01304,0.01039,0.00632,0.01174,0.00671,0.00696,0.00572,0.00982,0.00910,0.01445,0.00977,0.00378,0.00535,0.01005,0.00668,0.00561,0.01135,0.01308,0.00915,0.00998,0.00815,0.01639,0.00941,0.01337,0.00657,0.00725
23,0.01179,0.01892,0.00197,0.00626,0.01108,0.00473,0.02257,0.00892,0.00744,0.01110,0.00488,0.01810,0.00691,0.00863,0.00643,0.02318,0.00300,0.00444,0.00867,0.01094,0.02121,0.00345,0.00865,0.02466,0.00279,0.02624,0.01302,0.00601,0.00331,0.01325,0.00881,0.01284,0.00599,0.00528,0.00467,0.01878,0.01115,0.00963,0.01014,0.00650,0.00600,0.01659,0.01658,0.02281,0.00655,0.00716,0.00419,0.00930,0.00471,0.00960,0.01046,0.00995,0.00765,0.02474,0.00441,0.00534,0.00384,0.00463,0.00232,0.01007,0.01885,0.00436,0.03851,0.01198,0.00395,0.00458,0.01202,0.00388,0.01020,0.00846,0.00964,0.00368,0.00373,0.01371,0.00631,0.03215,0.00745,0.00517,0.00680,0.00885,0.00181,0.00735,0.01181,0.00658,0.00873,0.01033,0.01331,0.00451,0.00537,0.02117,0.01785,0.00719,0.00878,0.00413,0.00980,0.00707,0.02116,0.00618,0.00935
24,0.02079,0.01279,0.00204,0.00314,0.03509,0.00324,0.01000,0.01873,0.00393,0.00495,0.00643,0.01510,0.00559,0.01550,0.00767,0.01395,0.01597,0.00961,0.01267,0.01420,0.00745,0.00221,0.01254,0.00785,0.00423,0.01828,0.02051,0.00467,0.01762,0.00470,0.00627,0.00922,0.00304,0.00724,0.00194,0.04455,0.00758,0.01620,0.00572,0.00693,0.02796,0.00233,0.00531,0.01893,0.01183,0.00619,0.00746,0.01319,0.00518,0.01329,0.00948,0.00374,0.01713,0.01991,0.01069,0.00364,0.00305,0.00905,0.00272,0.00376,0.00407,0.00521,0.01815,0.00553,0.00227,0.01159,0.00819,0.00714,0.00799,0.00827,0.00795,0.00118,0.00262,0.00810,0.00723,0.00569,0.01536,0.00458,0.00391,0.00568,0.00450,0.03110,0.02824,0.00974,0.00342,0.01048,0.01809,0.00268,0.00905,0.01141,0.00659,0.00511,0.00826,0.00613,0.00961,0.02221,0.01424,0.00374,0.01969
28,0.01006,0.01775,0.00334,0.00515,0.01603,0.00386,0.01281,0.01404,0.00300,0.00654,0.00341,0.01605,0.01012,0.01027,0.01120,0.02255,0.01012,0.01149,0.00734,0.00623,0.00492,0.00514,0.00865,0.01096,0.00207,0.02296,0.03482,0.00376,0.03420,0.00380,0.00519,0.00778,0.00279,0.00980,0.00789,0.01407,0.01351,0.02292,0.00899,0.00480,0.01240,0.00160,0.01092,0.02311,0.00951,0.00331,0.02094,0.01237,0.00846,0.00687,0.01260,0.00928,0.01849,0.02413,0.00523,0.00575,0.00742,0.00931,0.00260,0.00314,0.01691,0.01562,0.00986,0.01028,0.00236,0.00790,0.00887,0.00471,0.00980,0.00658,0.02903,0.00237,0.00550,0.00721,0.00910,0.00449,0.00824,0.00347,0.00515,0.00458,0.00396,0.00874,0.02236,0.01103,0.00370,0.01081,0.00720,0.00322,0.00668,0.00444,0.00557,0.01008,0.00530,0.01065,0.00743,0.04349,0.00917,0.00309,0.01319
